claim_id,policy_id,product,segment,region,claim_type,event_date,report_date,status,incurred_amount
C00281,P06031,Commercial,Construction,South,Marine Transit,2026-08-16,2026-08-20,Open,172311
C00282,P06326,Commercial,Construction,South,Property Damage,2026-08-06,2026-08-08,Closed,158131
C00283,P06055,Commercial,Construction,South,Liability,2026-08-24,2026-08-28,Closed,275489
C00284,P06125,Commercial,Construction,South,Liability,2026-08-04,2026-08-11,Closed,239852
C00285,P06162,Commercial,Construction,South,Liability,2026-08-01,2026-08-08,Open,361768
C00286,P06362,Commercial,Construction,South,Property Damage,2026-08-22,2026-08-23,Open,112789
C00287,P06410,Commercial,Construction,South,Liability,2026-08-18,2026-08-25,Closed,302651
C00288,P06145,Commercial,Construction,South,Property Damage,2026-08-09,2026-08-14,Closed,333305
C00289,P06132,Commercial,Construction,South,Fire,2026-08-26,2026-08-28,Open,419457
C00290,P06071,Commercial,Construction,South,Fire,2026-08-01,2026-08-06,Closed,147005
C00291,P06386,Commercial,Construction,South,Marine Transit,2026-08-15,2026-08-21,Open,180142
C00292,P06257,Commercial,Construction,South,Property Damage,2026-08-15,2026-08-16,Open,406439
C00293,P06095,Commercial,Construction,South,Marine Transit,2026-08-13,2026-08-13,Closed,306906
C00294,P06292,Commercial,Construction,South,Fire,2026-08-28,2026-08-28,Closed,111483
C00295,P06275,Commercial,Construction,South,Liability,2026-08-12,2026-08-17,Open,124442
C00296,P06218,Commercial,Construction,South,Property Damage,2026-08-05,2026-08-14,Closed,357960
C00297,P06127,Commercial,Construction,South,Liability,2026-08-10,2026-08-13,Closed,286078
C00298,P06352,Commercial,Construction,South,Property Damage,2026-08-08,2026-08-14,Closed,285399
C00299,P06206,Commercial,Construction,South,Liability,2026-08-03,2026-08-11,Closed,389100
C00300,P06237,Commercial,Construction,South,Marine Transit,2026-08-13,2026-08-15,Closed,178445
C00301,P06238,Commercial,Construction,South,Marine Transit,2026-08-13,2026-08-21,Closed,151842
C00302,P06179,Commercial,Construction,South,Marine Transit,2026-08-16,2026-08-18,Open,301358
C00303,P06246,Commercial,Construction,South,Property Damage,2026-08-23,2026-08-26,Closed,389943
C00304,P06122,Commercial,Construction,South,Fire,2026-08-24,2026-08-28,Closed,186410
C00305,P06389,Commercial,Construction,South,Property Damage,2026-08-26,2026-08-28,Open,323614
C00306,P06365,Commercial,Construction,South,Fire,2026-08-25,2026-08-28,Closed,149187
C00307,P06337,Commercial,Construction,South,Liability,2026-08-09,2026-08-11,Closed,155628
C00308,P06026,Commercial,Construction,South,Liability,2026-08-20,2026-08-20,Open,396238
C00309,P06182,Commercial,Construction,South,Marine Transit,2026-08-17,2026-08-25,Closed,137838
C00310,P06016,Commercial,Construction,South,Marine Transit,2026-08-25,2026-08-28,Closed,106964
C00311,P06230,Commercial,Construction,South,Fire,2026-08-04,2026-08-12,Closed,354497
C00312,P06100,Commercial,Construction,South,Marine Transit,2026-08-08,2026-08-15,Closed,218484
C00313,P06280,Commercial,Construction,South,Property Damage,2026-08-10,2026-08-16,Closed,229746
C00314,P06420,Commercial,Construction,South,Fire,2026-08-06,2026-08-12,Closed,362715
C00315,P06101,Commercial,Construction,South,Liability,2026-08-19,2026-08-23,Closed,158275
C00316,P06180,Commercial,Construction,South,Liability,2026-08-05,2026-08-13,Open,313402
C00317,P06175,Commercial,Construction,South,Liability,2026-08-07,2026-08-10,Closed,202331
C00318,P06387,Commercial,Construction,South,Property Damage,2026-08-07,2026-08-10,Open,133321
C00319,P06324,Commercial,Construction,South,Marine Transit,2026-08-09,2026-08-13,Closed,325660
C00320,P06196,Commercial,Construction,South,Property Damage,2026-08-14,2026-08-19,Open,204025
C00321,P06196,Commercial,Construction,South,Marine Transit,2026-08-18,2026-08-21,Closed,384726
C00322,P06209,Commercial,Construction,South,Liability,2026-08-25,2026-08-28,Closed,402017
C00323,P06120,Commercial,Construction,South,Marine Transit,2026-08-22,2026-08-23,Closed,378938
C00324,P06318,Commercial,Construction,South,Liability,2026-08-18,2026-08-21,Open,205241
C00325,P06094,Commercial,Construction,South,Marine Transit,2026-08-21,2026-08-25,Closed,176956
