claim_id,policy_id,product,segment,region,claim_type,event_date,report_date,status,incurred_amount
C00001,P00138,Commercial,Construction,South,Marine Transit,2026-09-06,2026-09-10,Closed,130267
C00002,P00276,Commercial,Construction,South,Liability,2026-09-01,2026-09-01,Open,240564
C00003,P00115,Commercial,Construction,South,Fire,2026-09-24,2026-09-28,Closed,3000000
C00004,P00306,Commercial,Construction,South,Fire,2026-09-23,2026-09-28,Closed,295957
C00005,P00028,Commercial,Construction,South,Marine Transit,2026-09-21,2026-09-26,Open,223234
C00006,P00160,Commercial,Construction,South,Fire,2026-09-10,2026-09-14,Open,263862
C00007,P00362,Commercial,Construction,South,Liability,2026-09-11,2026-09-16,Closed,191481
C00008,P00428,Commercial,Construction,South,Liability,2026-09-04,2026-09-12,Closed,226187
C00009,P00161,Commercial,Construction,South,Fire,2026-09-24,2026-09-28,Closed,276031
C00010,P00050,Commercial,Construction,South,Fire,2026-09-28,2026-09-28,Closed,246770
C00011,P00297,Commercial,Construction,South,Liability,2026-09-01,2026-09-04,Closed,249719
C00012,P00091,Commercial,Construction,South,Fire,2026-09-18,2026-09-27,Closed,354861
C00013,P00211,Commercial,Construction,South,Fire,2026-09-04,2026-09-09,Closed,220246
C00014,P00004,Commercial,Construction,South,Fire,2026-09-05,2026-09-12,Open,254891
C00015,P00298,Commercial,Construction,South,Marine Transit,2026-09-23,2026-09-28,Open,379429
C00016,P00225,Commercial,Construction,South,Fire,2026-09-19,2026-09-28,Open,294564
C00017,P00339,Commercial,Construction,South,Liability,2026-09-18,2026-09-25,Closed,337907
C00018,P00408,Commercial,Construction,South,Marine Transit,2026-09-15,2026-09-22,Closed,269028
C00019,P00207,Commercial,Construction,South,Liability,2026-09-27,2026-09-28,Open,197048
C00020,P00456,Commercial,Construction,South,Marine Transit,2026-09-05,2026-09-07,Open,322144
C00021,P00345,Commercial,Construction,South,Property Damage,2026-09-18,2026-09-21,Closed,115613
C00022,P00059,Commercial,Construction,South,Marine Transit,2026-09-15,2026-09-22,Open,190933
C00023,P00231,Commercial,Construction,South,Liability,2026-09-25,2026-09-28,Closed,134890
C00024,P00460,Commercial,Construction,South,Fire,2026-09-03,2026-09-10,Closed,290425
C00025,P00040,Commercial,Construction,South,Liability,2026-09-16,2026-09-24,Open,287747
C00026,P00435,Commercial,Construction,South,Property Damage,2026-09-07,2026-09-07,Closed,353428
C00027,P00176,Commercial,Construction,South,Marine Transit,2026-09-11,2026-09-12,Open,146977
C00028,P00318,Commercial,Construction,South,Property Damage,2026-09-19,2026-09-26,Open,227280
C00029,P00407,Commercial,Construction,South,Liability,2026-09-12,2026-09-20,Closed,160847
C00030,P00024,Commercial,Construction,South,Property Damage,2026-09-03,2026-09-09,Closed,179630
C00031,P00404,Commercial,Construction,South,Liability,2026-09-27,2026-09-28,Closed,311360
C00032,P00319,Commercial,Construction,South,Fire,2026-09-22,2026-09-26,Closed,191738
C00033,P00421,Commercial,Construction,South,Liability,2026-09-08,2026-09-10,Closed,205291
C00034,P00401,Commercial,Construction,South,Marine Transit,2026-09-22,2026-09-28,Closed,240553
C00035,P00141,Commercial,Construction,South,Property Damage,2026-09-13,2026-09-16,Open,283079
C00036,P00130,Commercial,Construction,South,Fire,2026-09-25,2026-09-26,Closed,110489
C00037,P00040,Commercial,Construction,South,Liability,2026-09-13,2026-09-20,Open,341772
C00038,P00380,Commercial,Construction,South,Marine Transit,2026-09-18,2026-09-20,Closed,190760
