policy_id,product,segment,region,period,active_policies,earned_exposure_units
P00001,Commercial,Construction,South,2026-09,1,2.1681
P00002,Commercial,Construction,South,2026-09,1,2.1681
P00003,Commercial,Construction,South,2026-09,1,2.1681
P00004,Commercial,Construction,South,2026-09,1,2.1681
P00005,Commercial,Construction,South,2026-09,1,2.1681
P00006,Commercial,Construction,South,2026-09,1,2.1681
P00007,Commercial,Construction,South,2026-09,1,2.1681
P00008,Commercial,Construction,South,2026-09,1,2.1681
P00009,Commercial,Construction,South,2026-09,1,2.1681
P00010,Commercial,Construction,South,2026-09,1,2.1681
P00011,Commercial,Construction,South,2026-09,1,2.1681
P00012,Commercial,Construction,South,2026-09,1,2.1681
P00013,Commercial,Construction,South,2026-09,1,2.1681
P00014,Commercial,Construction,South,2026-09,1,2.1681
P00015,Commercial,Construction,South,2026-09,1,2.1681
P00016,Commercial,Construction,South,2026-09,1,2.1681
P00017,Commercial,Construction,South,2026-09,1,2.1681
P00018,Commercial,Construction,South,2026-09,1,2.1681
P00019,Commercial,Construction,South,2026-09,1,2.1681
P00020,Commercial,Construction,South,2026-09,1,2.1681
P00021,Commercial,Construction,South,2026-09,1,2.1681
P00022,Commercial,Construction,South,2026-09,1,2.1681
P00023,Commercial,Construction,South,2026-09,1,2.1681
P00024,Commercial,Construction,South,2026-09,1,2.1681
P00025,Commercial,Construction,South,2026-09,1,2.1681
P00026,Commercial,Construction,South,2026-09,1,2.1681
P00027,Commercial,Construction,South,2026-09,1,2.1681
P00028,Commercial,Construction,South,2026-09,1,2.1681
P00029,Commercial,Construction,South,2026-09,1,2.1681
P00030,Commercial,Construction,South,2026-09,1,2.1681
P00031,Commercial,Construction,South,2026-09,1,2.1681
P00032,Commercial,Construction,South,2026-09,1,2.1681
P00033,Commercial,Construction,South,2026-09,1,2.1681
P00034,Commercial,Construction,South,2026-09,1,2.1681
P00035,Commercial,Construction,South,2026-09,1,2.1681
P00036,Commercial,Construction,South,2026-09,1,2.1681
P00037,Commercial,Construction,South,2026-09,1,2.1681
P00038,Commercial,Construction,South,2026-09,1,2.1681
P00039,Commercial,Construction,South,2026-09,1,2.1681
P00040,Commercial,Construction,South,2026-09,1,2.1681
P00041,Commercial,Construction,South,2026-09,1,2.1681
P00042,Commercial,Construction,South,2026-09,1,2.1681
P00043,Commercial,Construction,South,2026-09,1,2.1681
P00044,Commercial,Construction,South,2026-09,1,2.1681
P00045,Commercial,Construction,South,2026-09,1,2.1681
P00046,Commercial,Construction,South,2026-09,1,2.1681
P00047,Commercial,Construction,South,2026-09,1,2.1681
P00048,Commercial,Construction,South,2026-09,1,2.1681
P00049,Commercial,Construction,South,2026-09,1,2.1681
P00050,Commercial,Construction,South,2026-09,1,2.1681
P00051,Commercial,Construction,South,2026-09,1,2.1681
P00052,Commercial,Construction,South,2026-09,1,2.1681
P00053,Commercial,Construction,South,2026-09,1,2.1681
P00054,Commercial,Construction,South,2026-09,1,2.1681
P00055,Commercial,Construction,South,2026-09,1,2.1681
P00056,Commercial,Construction,South,2026-09,1,2.1681
P00057,Commercial,Construction,South,2026-09,1,2.1681
P00058,Commercial,Construction,South,2026-09,1,2.1681
P00059,Commercial,Construction,South,2026-09,1,2.1681
P00060,Commercial,Construction,South,2026-09,1,2.1681
P00061,Commercial,Construction,South,2026-09,1,2.1681
P00062,Commercial,Construction,South,2026-09,1,2.1681
P00063,Commercial,Construction,South,2026-09,1,2.1681
P00064,Commercial,Construction,South,2026-09,1,2.1681
P00065,Commercial,Construction,South,2026-09,1,2.1681
P00066,Commercial,Construction,South,2026-09,1,2.1681
P00067,Commercial,Construction,South,2026-09,1,2.1681
P00068,Commercial,Construction,South,2026-09,1,2.1681
P00069,Commercial,Construction,South,2026-09,1,2.1681
P00070,Commercial,Construction,South,2026-09,1,2.1681
P00071,Commercial,Construction,South,2026-09,1,2.1681
P00072,Commercial,Construction,South,2026-09,1,2.1681
P00073,Commercial,Construction,South,2026-09,1,2.1681
P00074,Commercial,Construction,South,2026-09,1,2.1681
