policy_id,product,segment,region,period,active_policies,earned_exposure_units
P06001,Commercial,Construction,South,2026-08,1,2.1739
P06002,Commercial,Construction,South,2026-08,1,2.1739
P06003,Commercial,Construction,South,2026-08,1,2.1739
P06004,Commercial,Construction,South,2026-08,1,2.1739
P06005,Commercial,Construction,South,2026-08,1,2.1739
P06006,Commercial,Construction,South,2026-08,1,2.1739
P06007,Commercial,Construction,South,2026-08,1,2.1739
P06008,Commercial,Construction,South,2026-08,1,2.1739
P06009,Commercial,Construction,South,2026-08,1,2.1739
P06010,Commercial,Construction,South,2026-08,1,2.1739
P06011,Commercial,Construction,South,2026-08,1,2.1739
P06012,Commercial,Construction,South,2026-08,1,2.1739
P06013,Commercial,Construction,South,2026-08,1,2.1739
P06014,Commercial,Construction,South,2026-08,1,2.1739
P06015,Commercial,Construction,South,2026-08,1,2.1739
P06016,Commercial,Construction,South,2026-08,1,2.1739
P06017,Commercial,Construction,South,2026-08,1,2.1739
P06018,Commercial,Construction,South,2026-08,1,2.1739
P06019,Commercial,Construction,South,2026-08,1,2.1739
P06020,Commercial,Construction,South,2026-08,1,2.1739
P06021,Commercial,Construction,South,2026-08,1,2.1739
P06022,Commercial,Construction,South,2026-08,1,2.1739
P06023,Commercial,Construction,South,2026-08,1,2.1739
P06024,Commercial,Construction,South,2026-08,1,2.1739
P06025,Commercial,Construction,South,2026-08,1,2.1739
P06026,Commercial,Construction,South,2026-08,1,2.1739
P06027,Commercial,Construction,South,2026-08,1,2.1739
P06028,Commercial,Construction,South,2026-08,1,2.1739
P06029,Commercial,Construction,South,2026-08,1,2.1739
P06030,Commercial,Construction,South,2026-08,1,2.1739
P06031,Commercial,Construction,South,2026-08,1,2.1739
P06032,Commercial,Construction,South,2026-08,1,2.1739
P06033,Commercial,Construction,South,2026-08,1,2.1739
P06034,Commercial,Construction,South,2026-08,1,2.1739
P06035,Commercial,Construction,South,2026-08,1,2.1739
P06036,Commercial,Construction,South,2026-08,1,2.1739
P06037,Commercial,Construction,South,2026-08,1,2.1739
P06038,Commercial,Construction,South,2026-08,1,2.1739
P06039,Commercial,Construction,South,2026-08,1,2.1739
P06040,Commercial,Construction,South,2026-08,1,2.1739
P06041,Commercial,Construction,South,2026-08,1,2.1739
P06042,Commercial,Construction,South,2026-08,1,2.1739
P06043,Commercial,Construction,South,2026-08,1,2.1739
P06044,Commercial,Construction,South,2026-08,1,2.1739
P06045,Commercial,Construction,South,2026-08,1,2.1739
P06046,Commercial,Construction,South,2026-08,1,2.1739
P06047,Commercial,Construction,South,2026-08,1,2.1739
P06048,Commercial,Construction,South,2026-08,1,2.1739
P06049,Commercial,Construction,South,2026-08,1,2.1739
P06050,Commercial,Construction,South,2026-08,1,2.1739
P06051,Commercial,Construction,South,2026-08,1,2.1739
P06052,Commercial,Construction,South,2026-08,1,2.1739
P06053,Commercial,Construction,South,2026-08,1,2.1739
P06054,Commercial,Construction,South,2026-08,1,2.1739
P06055,Commercial,Construction,South,2026-08,1,2.1739
P06056,Commercial,Construction,South,2026-08,1,2.1739
P06057,Commercial,Construction,South,2026-08,1,2.1739
P06058,Commercial,Construction,South,2026-08,1,2.1739
P06059,Commercial,Construction,South,2026-08,1,2.1739
P06060,Commercial,Construction,South,2026-08,1,2.1739
P06061,Commercial,Construction,South,2026-08,1,2.1739
P06062,Commercial,Construction,South,2026-08,1,2.1739
P06063,Commercial,Construction,South,2026-08,1,2.1739
P06064,Commercial,Construction,South,2026-08,1,2.1739
P06065,Commercial,Construction,South,2026-08,1,2.1739
P06066,Commercial,Construction,South,2026-08,1,2.1739
P06067,Commercial,Construction,South,2026-08,1,2.1739
P06068,Commercial,Construction,South,2026-08,1,2.1739
P06069,Commercial,Construction,South,2026-08,1,2.1739
P06070,Commercial,Construction,South,2026-08,1,2.1739
P06071,Commercial,Construction,South,2026-08,1,2.1739
P06072,Commercial,Construction,South,2026-08,1,2.1739
P06073,Commercial,Construction,South,2026-08,1,2.1739
P06074,Commercial,Construction,South,2026-08,1,2.1739
P06075,Commercial,Construction,South,2026-08,1,2.1739
P06076,Commercial,Construction,South,2026-08,1,2.1739
P06077,Commercial,Construction,South,2026-08,1,2.1739
P06078,Commercial,Construction,South,2026-08,1,2.1739
P06079,Commercial,Construction,South,2026-08,1,2.1739
P06080,Commercial,Construction,South,2026-08,1,2.1739
P06081,Commercial,Construction,South,2026-08,1,2.1739
P06082,Commercial,Construction,South,2026-08,1,2.1739
P06083,Commercial,Construction,South,2026-08,1,2.1739
P06084,Commercial,Construction,South,2026-08,1,2.1739
P06085,Commercial,Construction,South,2026-08,1,2.1739
P06086,Commercial,Construction,South,2026-08,1,2.1739
P06087,Commercial,Construction,South,2026-08,1,2.1739
P06088,Commercial,Construction,South,2026-08,1,2.1739
P06089,Commercial,Construction,South,2026-08,1,2.1739
P06090,Commercial,Construction,South,2026-08,1,2.1739
P06091,Commercial,Construction,South,2026-08,1,2.1739
P06092,Commercial,Construction,South,2026-08,1,2.1739
P06093,Commercial,Construction,South,2026-08,1,2.1739
P06094,Commercial,Construction,South,2026-08,1,2.1739
P06095,Commercial,Construction,South,2026-08,1,2.1739
P06096,Commercial,Construction,South,2026-08,1,2.1739
P06097,Commercial,Construction,South,2026-08,1,2.1739
P06098,Commercial,Construction,South,2026-08,1,2.1739
P06099,Commercial,Construction,South,2026-08,1,2.1739
P06100,Commercial,Construction,South,2026-08,1,2.1739
P06101,Commercial,Construction,South,2026-08,1,2.1739
P06102,Commercial,Construction,South,2026-08,1,2.1739
P06103,Commercial,Construction,South,2026-08,1,2.1739
P06104,Commercial,Construction,South,2026-08,1,2.1739
P06105,Commercial,Construction,South,2026-08,1,2.1739
P06106,Commercial,Construction,South,2026-08,1,2.1739
P06107,Commercial,Construction,South,2026-08,1,2.1739
P06108,Commercial,Construction,South,2026-08,1,2.1739
P06109,Commercial,Construction,South,2026-08,1,2.1739
P06110,Commercial,Construction,South,2026-08,1,2.1739
P06111,Commercial,Construction,South,2026-08,1,2.1739
P06112,Commercial,Construction,South,2026-08,1,2.1739
P06113,Commercial,Construction,South,2026-08,1,2.1739
P06114,Commercial,Construction,South,2026-08,1,2.1739
P06115,Commercial,Construction,South,2026-08,1,2.1739
P06116,Commercial,Construction,South,2026-08,1,2.1739
P06117,Commercial,Construction,South,2026-08,1,2.1739
P06118,Commercial,Construction,South,2026-08,1,2.1739
P06119,Commercial,Construction,South,2026-08,1,2.1739
P06120,Commercial,Construction,South,2026-08,1,2.1739
P06121,Commercial,Construction,South,2026-08,1,2.1739
P06122,Commercial,Construction,South,2026-08,1,2.1739
P06123,Commercial,Construction,South,2026-08,1,2.1739
P06124,Commercial,Construction,South,2026-08,1,2.1739
P06125,Commercial,Construction,South,2026-08,1,2.1739
P06126,Commercial,Construction,South,2026-08,1,2.1739
P06127,Commercial,Construction,South,2026-08,1,2.1739
P06128,Commercial,Construction,South,2026-08,1,2.1739
P06129,Commercial,Construction,South,2026-08,1,2.1739
P06130,Commercial,Construction,South,2026-08,1,2.1739
P06131,Commercial,Construction,South,2026-08,1,2.1739
P06132,Commercial,Construction,South,2026-08,1,2.1739
P06133,Commercial,Construction,South,2026-08,1,2.1739
P06134,Commercial,Construction,South,2026-08,1,2.1739
P06135,Commercial,Construction,South,2026-08,1,2.1739
P06136,Commercial,Construction,South,2026-08,1,2.1739
P06137,Commercial,Construction,South,2026-08,1,2.1739
P06138,Commercial,Construction,South,2026-08,1,2.1739
P06139,Commercial,Construction,South,2026-08,1,2.1739
P06140,Commercial,Construction,South,2026-08,1,2.1739
P06141,Commercial,Construction,South,2026-08,1,2.1739
P06142,Commercial,Construction,South,2026-08,1,2.1739
P06143,Commercial,Construction,South,2026-08,1,2.1739
P06144,Commercial,Construction,South,2026-08,1,2.1739
P06145,Commercial,Construction,South,2026-08,1,2.1739
P06146,Commercial,Construction,South,2026-08,1,2.1739
P06147,Commercial,Construction,South,2026-08,1,2.1739
P06148,Commercial,Construction,South,2026-08,1,2.1739
P06149,Commercial,Construction,South,2026-08,1,2.1739
P06150,Commercial,Construction,South,2026-08,1,2.1739
P06151,Commercial,Construction,South,2026-08,1,2.1739
P06152,Commercial,Construction,South,2026-08,1,2.1739
P06153,Commercial,Construction,South,2026-08,1,2.1739
P06154,Commercial,Construction,South,2026-08,1,2.1739
P06155,Commercial,Construction,South,2026-08,1,2.1739
P06156,Commercial,Construction,South,2026-08,1,2.1739
P06157,Commercial,Construction,South,2026-08,1,2.1739
P06158,Commercial,Construction,South,2026-08,1,2.1739
P06159,Commercial,Construction,South,2026-08,1,2.1739
P06160,Commercial,Construction,South,2026-08,1,2.1739
P06161,Commercial,Construction,South,2026-08,1,2.1739
P06162,Commercial,Construction,South,2026-08,1,2.1739
P06163,Commercial,Construction,South,2026-08,1,2.1739
P06164,Commercial,Construction,South,2026-08,1,2.1739
P06165,Commercial,Construction,South,2026-08,1,2.1739
P06166,Commercial,Construction,South,2026-08,1,2.1739
P06167,Commercial,Construction,South,2026-08,1,2.1739
P06168,Commercial,Construction,South,2026-08,1,2.1739
P06169,Commercial,Construction,South,2026-08,1,2.1739
P06170,Commercial,Construction,South,2026-08,1,2.1739
P06171,Commercial,Construction,South,2026-08,1,2.1739
P06172,Commercial,Construction,South,2026-08,1,2.1739
P06173,Commercial,Construction,South,2026-08,1,2.1739
P06174,Commercial,Construction,South,2026-08,1,2.1739
P06175,Commercial,Construction,South,2026-08,1,2.1739
P06176,Commercial,Construction,South,2026-08,1,2.1739
P06177,Commercial,Construction,South,2026-08,1,2.1739
P06178,Commercial,Construction,South,2026-08,1,2.1739
P06179,Commercial,Construction,South,2026-08,1,2.1739
P06180,Commercial,Construction,South,2026-08,1,2.1739
P06181,Commercial,Construction,South,2026-08,1,2.1739
P06182,Commercial,Construction,South,2026-08,1,2.1739
P06183,Commercial,Construction,South,2026-08,1,2.1739
P06184,Commercial,Construction,South,2026-08,1,2.1739
P06185,Commercial,Construction,South,2026-08,1,2.1739
P06186,Commercial,Construction,South,2026-08,1,2.1739
P06187,Commercial,Construction,South,2026-08,1,2.1739
P06188,Commercial,Construction,South,2026-08,1,2.1739
P06189,Commercial,Construction,South,2026-08,1,2.1739
P06190,Commercial,Construction,South,2026-08,1,2.1739
P06191,Commercial,Construction,South,2026-08,1,2.1739
P06192,Commercial,Construction,South,2026-08,1,2.1739
P06193,Commercial,Construction,South,2026-08,1,2.1739
P06194,Commercial,Construction,South,2026-08,1,2.1739
P06195,Commercial,Construction,South,2026-08,1,2.1739
P06196,Commercial,Construction,South,2026-08,1,2.1739
P06197,Commercial,Construction,South,2026-08,1,2.1739
P06198,Commercial,Construction,South,2026-08,1,2.1739
P06199,Commercial,Construction,South,2026-08,1,2.1739
P06200,Commercial,Construction,South,2026-08,1,2.1739
P06201,Commercial,Construction,South,2026-08,1,2.1739
P06202,Commercial,Construction,South,2026-08,1,2.1739
P06203,Commercial,Construction,South,2026-08,1,2.1739
P06204,Commercial,Construction,South,2026-08,1,2.1739
P06205,Commercial,Construction,South,2026-08,1,2.1739
P06206,Commercial,Construction,South,2026-08,1,2.1739
P06207,Commercial,Construction,South,2026-08,1,2.1739
P06208,Commercial,Construction,South,2026-08,1,2.1739
