policy_id,product,segment,region,period,written_premium,earned_premium
P06001,Commercial,Construction,South,2026-08,36260,35204
P06002,Commercial,Construction,South,2026-08,27706,26899
P06003,Commercial,Construction,South,2026-08,31577,30657
P06004,Commercial,Construction,South,2026-08,21833,21197
P06005,Commercial,Construction,South,2026-08,51663,50158
P06006,Commercial,Construction,South,2026-08,43709,42436
P06007,Commercial,Construction,South,2026-08,28324,27499
P06008,Commercial,Construction,South,2026-08,45348,44027
P06009,Commercial,Construction,South,2026-08,41669,40455
P06010,Commercial,Construction,South,2026-08,59911,58166
P06011,Commercial,Construction,South,2026-08,69536,67511
P06012,Commercial,Construction,South,2026-08,19891,19312
P06013,Commercial,Construction,South,2026-08,65201,63302
P06014,Commercial,Construction,South,2026-08,54426,52841
P06015,Commercial,Construction,South,2026-08,53690,52126
P06016,Commercial,Construction,South,2026-08,34546,33540
P06017,Commercial,Construction,South,2026-08,32718,31765
P06018,Commercial,Construction,South,2026-08,12370,12010
P06019,Commercial,Construction,South,2026-08,71113,69042
P06020,Commercial,Construction,South,2026-08,48514,47101
P06021,Commercial,Construction,South,2026-08,36232,35177
P06022,Commercial,Construction,South,2026-08,44740,43437
P06023,Commercial,Construction,South,2026-08,14468,14047
P06024,Commercial,Construction,South,2026-08,22477,21822
P06025,Commercial,Construction,South,2026-08,49528,48085
P06026,Commercial,Construction,South,2026-08,42965,41714
P06027,Commercial,Construction,South,2026-08,59376,57647
P06028,Commercial,Construction,South,2026-08,51657,50152
P06029,Commercial,Construction,South,2026-08,48209,46805
P06030,Commercial,Construction,South,2026-08,61072,59293
P06031,Commercial,Construction,South,2026-08,16137,15667
P06032,Commercial,Construction,South,2026-08,53590,52029
P06033,Commercial,Construction,South,2026-08,55076,53472
P06034,Commercial,Construction,South,2026-08,28582,27750
P06035,Commercial,Construction,South,2026-08,23800,23107
P06036,Commercial,Construction,South,2026-08,24895,24170
P06037,Commercial,Construction,South,2026-08,23950,23252
P06038,Commercial,Construction,South,2026-08,43538,42270
P06039,Commercial,Construction,South,2026-08,20189,19601
P06040,Commercial,Construction,South,2026-08,51690,50184
P06041,Commercial,Construction,South,2026-08,18352,17817
P06042,Commercial,Construction,South,2026-08,13649,13251
P06043,Commercial,Construction,South,2026-08,31237,30327
P06044,Commercial,Construction,South,2026-08,23572,22885
P06045,Commercial,Construction,South,2026-08,71503,69420
P06046,Commercial,Construction,South,2026-08,30257,29376
P06047,Commercial,Construction,South,2026-08,25388,24649
P06048,Commercial,Construction,South,2026-08,23867,23172
P06049,Commercial,Construction,South,2026-08,34519,33514
P06050,Commercial,Construction,South,2026-08,48475,47063
P06051,Commercial,Construction,South,2026-08,59067,57347
P06052,Commercial,Construction,South,2026-08,33961,32972
P06053,Commercial,Construction,South,2026-08,49685,48238
P06054,Commercial,Construction,South,2026-08,41028,39833
P06055,Commercial,Construction,South,2026-08,62951,61117
P06056,Commercial,Construction,South,2026-08,46260,44913
P06057,Commercial,Construction,South,2026-08,29468,28610
P06058,Commercial,Construction,South,2026-08,54354,52771
P06059,Commercial,Construction,South,2026-08,61360,59573
P06060,Commercial,Construction,South,2026-08,40029,38863
P06061,Commercial,Construction,South,2026-08,71414,69334
P06062,Commercial,Construction,South,2026-08,64912,63021
P06063,Commercial,Construction,South,2026-08,23878,23183
P06064,Commercial,Construction,South,2026-08,59357,57628
P06065,Commercial,Construction,South,2026-08,48180,46777
P06066,Commercial,Construction,South,2026-08,44201,42914
P06067,Commercial,Construction,South,2026-08,42946,41695
P06068,Commercial,Construction,South,2026-08,63367,61521
P06069,Commercial,Construction,South,2026-08,48777,47356
P06070,Commercial,Construction,South,2026-08,44375,43083
P06071,Commercial,Construction,South,2026-08,14970,14534
P06072,Commercial,Construction,South,2026-08,38998,37862
P06073,Commercial,Construction,South,2026-08,66652,64711
P06074,Commercial,Construction,South,2026-08,54844,53247
P06075,Commercial,Construction,South,2026-08,15096,14656
P06076,Commercial,Construction,South,2026-08,65206,63307
P06077,Commercial,Construction,South,2026-08,61758,59959
P06078,Commercial,Construction,South,2026-08,44915,43607
P06079,Commercial,Construction,South,2026-08,13379,12989
P06080,Commercial,Construction,South,2026-08,45863,44527
P06081,Commercial,Construction,South,2026-08,15314,14868
P06082,Commercial,Construction,South,2026-08,31303,30391
P06083,Commercial,Construction,South,2026-08,49862,48410
P06084,Commercial,Construction,South,2026-08,66946,64996
P06085,Commercial,Construction,South,2026-08,33553,32576
P06086,Commercial,Construction,South,2026-08,63764,61907
P06087,Commercial,Construction,South,2026-08,67273,65314
P06088,Commercial,Construction,South,2026-08,13296,12909
P06089,Commercial,Construction,South,2026-08,26433,25663
P06090,Commercial,Construction,South,2026-08,54731,53137
P06091,Commercial,Construction,South,2026-08,57557,55881
P06092,Commercial,Construction,South,2026-08,35636,34598
P06093,Commercial,Construction,South,2026-08,51537,50036
P06094,Commercial,Construction,South,2026-08,48854,47431
P06095,Commercial,Construction,South,2026-08,56531,54884
P06096,Commercial,Construction,South,2026-08,55261,53651
P06097,Commercial,Construction,South,2026-08,17196,16695
P06098,Commercial,Construction,South,2026-08,21550,20922
P06099,Commercial,Construction,South,2026-08,20015,19432
P06100,Commercial,Construction,South,2026-08,68122,66138
P06101,Commercial,Construction,South,2026-08,66984,65033
P06102,Commercial,Construction,South,2026-08,59998,58250
P06103,Commercial,Construction,South,2026-08,19052,18497
P06104,Commercial,Construction,South,2026-08,46576,45219
P06105,Commercial,Construction,South,2026-08,23293,22615
P06106,Commercial,Construction,South,2026-08,34190,33194
P06107,Commercial,Construction,South,2026-08,28097,27279
P06108,Commercial,Construction,South,2026-08,61894,60091
P06109,Commercial,Construction,South,2026-08,20719,20116
P06110,Commercial,Construction,South,2026-08,50901,49418
P06111,Commercial,Construction,South,2026-08,71215,69141
P06112,Commercial,Construction,South,2026-08,53359,51805
P06113,Commercial,Construction,South,2026-08,16797,16308
P06114,Commercial,Construction,South,2026-08,66641,64700
P06115,Commercial,Construction,South,2026-08,50714,49237
P06116,Commercial,Construction,South,2026-08,39480,38330
P06117,Commercial,Construction,South,2026-08,51713,50207
P06118,Commercial,Construction,South,2026-08,64909,63018
P06119,Commercial,Construction,South,2026-08,40731,39545
