policy_id,product,segment,region,period,written_premium,earned_premium
P00001,Commercial,Construction,South,2026-09,54855,53257
P00002,Commercial,Construction,South,2026-09,35983,34935
P00003,Commercial,Construction,South,2026-09,59623,57886
P00004,Commercial,Construction,South,2026-09,50541,49069
P00005,Commercial,Construction,South,2026-09,16569,16086
P00006,Commercial,Construction,South,2026-09,66214,64285
P00007,Commercial,Construction,South,2026-09,54133,52556
P00008,Commercial,Construction,South,2026-09,55537,53919
P00009,Commercial,Construction,South,2026-09,18480,17942
P00010,Commercial,Construction,South,2026-09,36631,35564
P00011,Commercial,Construction,South,2026-09,32148,31212
P00012,Commercial,Construction,South,2026-09,63461,61613
P00013,Commercial,Construction,South,2026-09,47528,46144
P00014,Commercial,Construction,South,2026-09,57604,55926
P00015,Commercial,Construction,South,2026-09,36238,35183
P00016,Commercial,Construction,South,2026-09,24063,23362
P00017,Commercial,Construction,South,2026-09,42500,41262
P00018,Commercial,Construction,South,2026-09,14859,14426
P00019,Commercial,Construction,South,2026-09,57878,56192
P00020,Commercial,Construction,South,2026-09,46841,45477
P00021,Commercial,Construction,South,2026-09,53962,52390
P00022,Commercial,Construction,South,2026-09,31232,30322
P00023,Commercial,Construction,South,2026-09,65935,64015
P00024,Commercial,Construction,South,2026-09,61566,59773
P00025,Commercial,Construction,South,2026-09,55104,53499
P00026,Commercial,Construction,South,2026-09,22226,21579
P00027,Commercial,Construction,South,2026-09,37551,36457
P00028,Commercial,Construction,South,2026-09,13732,13332
P00029,Commercial,Construction,South,2026-09,19954,19373
P00030,Commercial,Construction,South,2026-09,49735,48286
P00031,Commercial,Construction,South,2026-09,53211,51661
P00032,Commercial,Construction,South,2026-09,65756,63841
P00033,Commercial,Construction,South,2026-09,29616,28753
P00034,Commercial,Construction,South,2026-09,32130,31194
P00035,Commercial,Construction,South,2026-09,37710,36612
P00036,Commercial,Construction,South,2026-09,21936,21297
P00037,Commercial,Construction,South,2026-09,18582,18041
P00038,Commercial,Construction,South,2026-09,38057,36949
P00039,Commercial,Construction,South,2026-09,24044,23344
P00040,Commercial,Construction,South,2026-09,48990,47563
P00041,Commercial,Construction,South,2026-09,35885,34840
P00042,Commercial,Construction,South,2026-09,58162,56468
P00043,Commercial,Construction,South,2026-09,50705,49228
P00044,Commercial,Construction,South,2026-09,28858,28017
P00045,Commercial,Construction,South,2026-09,58138,56445
P00046,Commercial,Construction,South,2026-09,56590,54942
P00047,Commercial,Construction,South,2026-09,33088,32124
P00048,Commercial,Construction,South,2026-09,27503,26702
P00049,Commercial,Construction,South,2026-09,49704,48256
P00050,Commercial,Construction,South,2026-09,19135,18578
